,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems
233,477.4151118885166,1915.0394745377473,9385.669384774397,5.270328209576258e-16,28.954726603372542,6321.921325222092,5.389832216718702,421.78686157787865,912.9006227868288
234,555.7261289273895,2956.341337737387,14117.293277996245,6.82614625273661e-16,46.91362443884105,9330.354645126752,67.24827847617588,625.9559443890889,1397.5967493461123
235,221.8788379921799,3327.762283016922,9539.427717721635,5.630799433549318e-16,34.2111378640359,8658.06278049028,2.9127648610938193e-07,433.32912719174004,2062.783120922801
236,517.5606812769744,884.0519233022757,5383.228521156956,3.5667464753797373e-16,9.739530767773882,3975.386792254055,90.25344971864303,255.7137524747089,629.8779464458424
237,85.16857989972034,7349.045678378753,11072.734425254024,5.0276235808783e-16,67.02815384582287,8301.417696338069,218.8941424520388,518.3116000187078,1935.1942763588067
238,1089.5416358338725,823.8051770225628,7461.64758171369,3.9795956608686134e-16,9.35525961014017,2732.4858914800207,8.60613194380359,320.28691062123534,480.04986076719996
239,24.502141376720214,6061.036929037901,7825.809621031336,3.8923126826344976e-16,54.51233648973519,10379.045727116694,148.70650930761872,369.3609677069208,4238.79139384111
240,14.92896819776685,10163.738947324659,8020.582245509757,4.3459788319467657e-16,74.42780353459895,8535.207566122272,25.610728523371282,400.5311627657539,3199.0191633187465
241,36.843370564654776,6401.251147062371,8543.65075888852,4.657277970753367e-16,51.81219343704498,7859.565931212697,166.9563811038075,393.1192962362307,2802.3213805461983
242,34.843153825710296,16128.268075731943,15789.985327592898,6.646974965755558e-16,143.41200441562714,16917.478489750254,33.279496309802646,761.7083206286405,6475.840654803389
243,43.73997537793598,12239.45737093871,16172.692038442692,5.165549950120069e-16,92.95934162740964,14927.13231895289,308.6994208906965,730.5726851781585,6017.867694290065
244,82.37948754840934,8659.58029322253,10634.969404062016,4.177484962371296e-16,71.28021318507902,7905.538341236416,209.5619733691448,510.8776812007933,1786.1100105895496
245,21.251224967431607,9265.84025243376,9072.795119924278,4.379568967046523e-16,78.30856946007162,10888.292035486484,170.93703416749509,437.28683863181175,4369.395546067358
246,14.19129146745869,6160.582389030388,6039.725092530811,3.8086510566473676e-16,54.59487250947229,6951.129374847603,115.12840468753073,309.20269190178783,2703.7047089486236
247,31.15910916326449,4671.155766587978,6483.273729491209,4.118195176377471e-16,37.16584540915167,7029.390162044468,-7.53907693155611e-05,317.4062072311744,2603.8840494765677
