day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
10,4121.101771111381,954.8368004001873,12859.029779026907,6.872158607207745e-16,4.600470855462937,2380.0055827139013,2282.1164502178685,6876.598124011244,2.4651645398171387,460.0617939794305,1175.7877838245672,50,2018-01-11
11,2111.266514697432,1525.75859688601,11878.266731518808,6.170958937796886e-16,16.15009754688736,1093.7008007459667,494.4039693301917,2184.923351422042,-5.156778746027157e-07,102.95821725636951,611.4150884421272,50,2018-01-12
12,5351.247871633219,553.2615600081594,12805.522140608815,6.264654589684356e-16,2.1408427378008636,1637.8569795658052,2278.8422810307015,5209.949327255001,2.3486137059942704,436.1568299822037,873.373549613859,50,2018-01-13
13,6928.028138366049,724.4310516963371,17128.2749870757,6.611743101542185e-16,5.187833574830009,1914.5736157190959,1699.3090499462962,4501.28143620643,2.979695528815008,329.7091353331028,995.2312108804286,50,2018-01-14
14,387.1877738928499,1797.184622541794,6854.128303447728,4.451444996423665e-16,21.7767237931854,5779.164751285564,5.5616261864483375e-08,9016.656347393351,18.062992022364423,363.12223445785474,3645.110597242893,50,2018-01-15
15,1235.3669559440289,848.2553240772833,6855.455188335726,3.9536412042054656e-16,10.106826033011851,2554.878138646812,1198.3566686655824,5211.925365280513,4.13024713326996,250.25642197701742,1321.6878087676523,50,2018-01-16
16,613.6163838553406,436.62539208804066,3459.7852361629566,3.606115081637559e-16,4.958040773643006,1318.371672354784,497.6780646073282,2387.388440027187,1.3851069441557229e-06,103.76911523061482,800.3119950613924,50,2018-01-17
17,7694.323314157849,1390.4661502869199,20876.28438686108,7.758196161000504e-16,6.813513539343706,4041.1303038847327,3654.005701752132,11213.947206743595,15.997408434280269,744.8882197203408,1964.2657961923776,50,2018-01-18
18,3113.3685533681196,1954.4205518565,16927.45672670074,6.886645822447237e-16,11.88476365423419,7897.517160097407,2861.649476389144,14033.90471884452,12.09654561685383,594.6471620390173,4857.492304803149,50,2018-01-19
19,2727.3106863231733,686.2856370428959,10368.277075847785,6.314398190259017e-16,1.7723824546882372,852.816207149751,566.4349657078451,2234.5405900612463,-9.381095801472839e-07,117.36412952111246,970.1473828594042,50,2018-01-20
20,7780.574833470016,848.0362434918551,19350.50860568534,6.063372153900023e-16,5.180335139554963,2440.316634699908,3395.344072530576,6265.901000899597,2.2507217922333513,615.0916298073226,1183.7588223466792,50,2018-01-21
21,7961.895584228888,1254.7051980133751,18784.102352800342,7.088229130165753e-16,4.092161392824524,4483.574969474802,3316.7617709963583,10312.59605359179,1.4724688526257524e-07,631.2953687669643,1656.664950856853,50,2018-01-22
22,6597.497882452537,996.64962486457,14975.509623086426,6.934393754581034e-16,2.922178777238154,3602.79356411645,2665.19775528624,8286.715544153072,8.628052103176741e-08,492.32936004094074,1319.8400242001246,50,2018-01-23
23,5587.760060727459,690.1149678489314,10872.598855002541,7.04347149923026e-16,2.2517953970607323,3057.739905782555,2098.7613216056434,7268.73899689777,2.2653258167792957e-07,426.98525679833284,1329.7971083344294,50,2018-01-24
24,9197.507660389972,998.551873588348,19734.19494694136,7.397168384793647e-16,1.9497201485910305,4121.452762799214,3480.4732343657797,10949.370028329964,10.72408151740959,656.344349909998,1899.7671627002826,50,2018-01-25
25,9501.550394470396,1172.0009179506678,19394.115231037526,7.870595143475432e-16,2.030950896545373,4638.489230676703,3431.3600698232053,10668.904462463164,3.577431412509213e-07,633.3931015912589,1698.8770553213694,50,2018-01-26
26,6984.287552992918,854.1392018233882,17668.326603206842,5.565081586858659e-16,3.009783983320548,2356.407821807701,3133.407542956025,7000.416343391642,-2.6440222029577853e-08,600.066384528707,1143.8634851783493,50,2018-01-27
27,4724.314552856556,972.2429365766205,16277.285322699765,5.439878634379186e-16,4.088154225054244,3527.3106443016773,4.776812354899814e-07,6227.949773864914,1.0157425890611194e-08,408.2968646152186,1436.6933189791541,50,2018-01-28
28,793.7883267765411,2307.0811634608754,10877.350129796087,4.583326957148076e-16,27.016439369462404,996.2905111136354,6.401745787975452e-08,1511.0076567744957,44.958768633798336,58.59178526039099,622.1455327626365,50,2018-01-29
29,1008.9536080925013,1639.8382127198,9699.954912940711,6.62550468431408e-16,15.968071224502486,6707.0606941642,3031.9053948474602,13398.924073201264,1.2772189109000465e-07,644.1272827314002,3808.5798435090483,50,2018-01-30
30,117.92585588454881,8262.458648900267,12954.570506756132,5.821835293388453e-16,46.59786633770791,3185.2453342748527,1290.034166633711,5993.645222878939,-1.5927807339721766e-09,274.9550225034288,1785.3402481325832,50,2018-01-31
31,70.13247917321094,5825.532062923596,10429.870063268947,6.711005853231698e-16,36.83922513005319,4499.933616968584,9.491557999426875e-08,8323.638933559398,62.128372867820865,397.04839250429205,3620.373474656407,50,2018-02-01
32,975.686247960829,653.3511876241395,5368.061316395907,5.101414073769854e-16,5.950938928454574,2933.4911071986303,1587.986192277393,6412.794930587389,-8.440763411954322e-08,333.89223354170076,1409.5456528460388,50,2018-02-02
33,2296.8288387970133,1060.5990211142166,11578.888003117861,4.851009873273383e-16,5.281164623861585,452.73117533673866,6.089675698346328e-07,984.8783669760438,-1.501259002338884e-07,49.98051404352477,392.1307477098065,50,2018-02-03
34,1805.1703172787015,526.1571683865999,7016.676218860578,4.821322483448865e-16,3.2343336532191116,4670.865222422945,6.051181904372578e-07,7848.8465075659215,-1.554693326738743e-06,507.9934914979144,1782.090954338974,50,2018-02-04
35,2299.257616200914,1566.9086594484031,12627.660360740403,5.061524353768051e-16,14.61878628876246,523.525847642035,4.721922675827673e-07,766.2128836957618,161.16476992056428,30.576483904502393,321.8493970170284,50,2018-02-05
36,42.270518056040615,14960.386147471521,16106.755208205333,4.557228619085076e-16,61.341976076235795,895.5048940205193,5.722006102876636e-07,1310.6275018293134,241.14886030232572,52.55322159043527,551.0882522629289,50,2018-02-06
37,3725.9854491791625,1845.3510845052272,17704.58040188457,7.042796368466993e-16,6.423982726044112,348.22396863389434,258.04062323219705,817.7017594712794,-1.6168640528917423e-06,53.99778453824423,102.1634787251108,50,2018-02-07
38,2416.7901447340587,1722.9013541186926,14385.384812025673,6.000118334507302e-16,9.994832907711228,129.37103077024506,101.94193528784993,307.7768516285322,-6.58356557210027e-07,21.477628421508555,39.90669494535287,50,2018-02-08
39,2043.9984642088666,1525.4025822414742,12014.510786369596,6.114156768087053e-16,15.20008698491982,2921.1821889332655,2160.9711385796154,6718.958400212726,1.2401598894484777e-08,443.0252036401215,1074.016113091397,50,2018-02-09
40,96.41652739479147,10947.671274531707,16865.668742232763,5.550607118518074e-16,64.90975847410368,3933.0622007408465,2992.6175399859544,11081.541928694136,2.0230648904657754e-06,626.0477527476302,4479.756669164524,50,2018-02-10
41,3953.6858567190525,1286.728608869942,17311.99723313883,6.950772730593017e-16,2.7433486129210656,84.13157129288601,89.19922341933534,149.80653136364887,4.7996829227154745,17.72820313607549,26.640901682200212,50,2018-02-11
42,3642.166858215848,835.1798794772865,11109.780186048672,6.626398931365832e-16,1.7063127522310237,234.57936047845473,173.53202753338635,539.5502205390055,-9.056881248881155e-05,35.404725838544664,84.3537520282464,50,2018-02-12
43,4819.5425731617215,925.1938790866282,14220.310230661691,6.242088242460713e-16,2.7275216354942664,1691.8078283878222,1208.1792607846157,3964.2922166397216,0.15410586995502246,222.87713905170423,658.0043458971824,50,2018-02-13
44,2690.7737230192542,447.8776965372099,6432.310801452538,5.427324504915333e-16,1.1879895630014685,2901.27570272456,1745.147874026935,6656.172556016833,1.584629909530122e-07,356.59060733301754,1313.8312557810618,50,2018-02-14
