day_of_year,savings,time_of_shift,date
0,0.6300000803893054,22.25,2018-01-01
1,0.13750005844657015,22.5,2018-01-02
2,0.15750001679938772,0.5,2018-01-03
3,0.4900005238075996,23.75,2018-01-04
4,1.3612510996022669,23.5,2018-01-05
5,1.1712557434471342,22.75,2018-01-06
6,1.1712499783571717,23.5,2018-01-07
7,0.18375009753734178,21.0,2018-01-08
8,0.7287499530640611,17.25,2018-01-09
9,1.0850005772333293,20.75,2018-01-10
10,1.1887550474782023,23.5,2018-01-11
11,0.9062643883059265,19.5,2018-01-12
12,0.9950002518263736,23.5,2018-01-13
13,1.211252461154641,20.25,2018-01-14
14,0.6262516772204372,16.5,2018-01-15
15,0.4850057536873183,19.75,2018-01-16
16,0.41250153045786786,18.25,2018-01-17
17,1.39500002422208,23.25,2018-01-18
18,1.1237507420084476,18.0,2018-01-19
19,1.1900046007080671,17.75,2018-01-20
20,1.2962513925745216,23.5,2018-01-21
21,1.2662503677116879,23.75,2018-01-22
22,1.3237502480960037,23.75,2018-01-23
23,1.2662505150147878,22.5,2018-01-24
24,1.3300064585944347,23.0,2018-01-25
25,1.3099997763024696,23.75,2018-01-26
26,1.248752813609652,23.75,2018-01-27
27,1.2087520687701765,16.0,2018-01-28
28,0.7187499461669172,16.0,2018-01-29
29,1.1575009521699737,19.5,2018-01-30
30,1.0812547188521973,18.75,2018-01-31
31,1.3012503670659645,17.25,2018-02-01
32,0.9025026192220025,20.75,2018-02-02
33,1.2362501731557454,15.0,2018-02-03
34,1.1887642910384262,15.25,2018-02-04
35,1.192500055544077,15.0,2018-02-05
36,1.1437482593348391,15.0,2018-02-06
37,1.2862499701805434,0.75,2018-02-07
38,1.0199983001848072,0.75,2018-02-08
39,1.3000071108809919,23.75,2018-02-09
40,1.1850004987553584,18.75,2018-02-10
41,1.1999981156948516,1.25,2018-02-11
42,0.8212504256052551,23.75,2018-02-12
43,1.0912533764731043,23.0,2018-02-13
44,0.6662510140206028,21.5,2018-02-14
45,0.7787500407432933,15.0,2018-02-15
46,0.9887537010371189,0.75,2018-02-16
47,1.1950062441536413,16.75,2018-02-17
48,1.1850007422251068,15.25,2018-02-18
49,1.2349999676706311,0.75,2018-02-19
50,0.7037509812717943,23.75,2018-02-20
51,1.1949988464193224,17.0,2018-02-21
52,1.2262507566231908,18.0,2018-02-22
53,1.2862501203386763,16.0,2018-02-23
54,1.1825083248478048,14.75,2018-02-24
55,1.2112490708227128,1.0,2018-02-25
56,1.28875174561935,16.25,2018-02-26
57,1.0412602630491985,19.5,2018-02-27
58,1.3000001601192526,0.75,2018-02-28
59,0.9175041387098598,1.25,2018-03-01
60,0.8762505903860206,17.0,2018-03-02
61,1.0675086850958873,21.75,2018-03-03
62,1.1537515734670278,15.0,2018-03-04
63,1.2187510116552467,15.0,2018-03-05
64,0.7800021021405659,1.25,2018-03-06
65,1.0425009711782145,0.75,2018-03-07
66,1.013751034060561,15.25,2018-03-08
67,1.2137528647527027,1.25,2018-03-09
68,0.5900006631913646,19.75,2018-03-10
69,1.1575010219560733,21.0,2018-03-11
70,1.313750670357015,22.5,2018-03-12
71,1.1412519980680964,20.5,2018-03-13
72,1.1987499537910506,13.5,2018-03-14
73,1.2537519524400067,18.75,2018-03-15
74,1.2162534534996943,15.0,2018-03-16
75,1.0825001315909686,0.75,2018-03-17
