day_of_year,savings,time_of_shift,date
76,1.2424999172578362,23.75,2018-03-18
77,1.1387529601025375,15.0,2018-03-19
78,0.6375029926780059,19.25,2018-03-20
79,0.8900019719389041,23.75,2018-03-21
80,1.2300012114175505,17.75,2018-03-22
81,1.1487548025903243,14.75,2018-03-23
82,1.2562548960798958,14.75,2018-03-24
83,1.1900061107506579,1.75,2018-03-25
84,1.192500062992553,14.75,2018-03-26
85,1.2037532496133831,14.5,2018-03-27
86,1.2024992321150902,1.75,2018-03-28
87,1.1837494012587078,1.5,2018-03-29
88,1.1212502187255289,0.5,2018-03-30
89,1.1825007116715491,16.25,2018-03-31
90,1.1050016826245328,15.5,2018-04-01
91,1.151250636928126,14.0,2018-04-02
92,1.088749966483669,1.25,2018-04-03
93,1.158750276655997,16.5,2018-04-04
94,1.0800053202673285,1.0,2018-04-05
95,1.1187502628238364,18.25,2018-04-06
96,1.0512515616380893,16.5,2018-04-07
97,1.1812598006149464,13.75,2018-04-08
98,1.13250043293499,14.75,2018-04-09
99,1.09000115374476,14.75,2018-04-10
100,1.1462501526935507,17.0,2018-04-11
101,1.195000532347935,16.5,2018-04-12
102,1.083750341278461,14.75,2018-04-13
103,1.123753988166285,1.5,2018-04-14
104,1.123750293946984,1.25,2018-04-15
105,0.9412507553585123,14.25,2018-04-16
106,1.13125168641294,14.0,2018-04-17
107,1.1262601630074116,1.5,2018-04-18
108,1.1550003345028286,17.75,2018-04-19
109,1.128750489221395,14.0,2018-04-20
110,1.1225009903773322,14.25,2018-04-21
111,1.0500005631872145,14.0,2018-04-22
112,1.1812505792374721,13.75,2018-04-23
113,1.1600018611713543,14.0,2018-04-24
114,1.0675063585764872,1.5,2018-04-25
115,1.0862508325485076,1.0,2018-04-26
116,1.041250069065507,3.0,2018-04-27
117,1.2525001467268253,13.75,2018-04-28
118,1.248753942233315,12.75,2018-04-29
119,1.1337516429492807,14.0,2018-04-30
120,1.1224999348473026,15.25,2018-05-01
121,1.0875021423244216,21.0,2018-05-02
122,1.0412507229404036,2.25,2018-05-03
123,1.0687509453675046,1.5,2018-05-04
124,1.121250149851726,14.5,2018-05-05
125,1.0775000111411461,14.0,2018-05-06
126,1.1312521834530735,11.25,2018-05-07
127,1.0812500922741635,14.0,2018-05-08
128,0.9750001547930162,14.5,2018-05-09
129,1.0400002300883944,14.0,2018-05-10
130,1.1212502485691167,14.0,2018-05-11
131,1.142502717411007,14.0,2018-05-12
132,1.1412506188277551,1.75,2018-05-13
133,1.1400024869065193,13.75,2018-05-14
134,1.106254859508697,13.75,2018-05-15
135,1.0650001792936923,1.75,2018-05-16
136,1.1362588590776885,11.0,2018-05-17
137,1.136251715927875,14.0,2018-05-18
138,1.071252953822837,0.5,2018-05-19
139,1.190000663944515,23.75,2018-05-20
140,1.1162503106697454,15.5,2018-05-21
141,1.1162565371464648,13.75,2018-05-22
142,1.0700006409864684,23.75,2018-05-23
143,1.0812575669753248,13.75,2018-05-24
144,1.0887508341777716,14.0,2018-05-25
145,1.0587528381514937,1.75,2018-05-26
146,1.0400005336882823,13.5,2018-05-27
147,1.072513190383121,14.0,2018-05-28
148,1.0849999942754747,21.75,2018-05-29
149,1.1162503160875592,13.75,2018-05-30
150,1.1200038967757542,13.75,2018-05-31
151,1.1562590172271456,13.0,2018-06-01
152,1.2025001288271704,14.0,2018-06-02
153,1.211251310499225,13.0,2018-06-03
154,0.9425001620648533,20.25,2018-06-04
155,1.1762510685021343,2.0,2018-06-05
156,0.8425000400215489,1.75,2018-06-06
157,1.0500042340566955,2.0,2018-06-07
158,1.0437501212040097,1.75,2018-06-08
159,1.181259321333652,15.0,2018-06-09
160,1.170001262276612,13.25,2018-06-10
161,1.2250003607565367,14.0,2018-06-11
162,1.0900006051741005,14.0,2018-06-12
163,0.7387500597683649,23.75,2018-06-13
164,0.6062504431890374,14.0,2018-06-14
165,0.4875001746876402,20.75,2018-06-15
166,1.058751423240445,14.0,2018-06-16
167,1.201256876035535,14.25,2018-06-17
168,1.1300048498306445,1.75,2018-06-18
169,1.0625054481011225,1.75,2018-06-19
170,1.07750084386255,14.0,2018-06-20
171,1.1475027234093602,13.5,2018-06-21
172,0.8875038779797141,13.5,2018-06-22
173,0.8412500876760305,12.5,2018-06-23
174,0.7487503217656282,20.75,2018-06-24
175,1.087504226824724,14.0,2018-06-25
176,1.1137512423673208,14.0,2018-06-26
177,0.8987508924757932,14.0,2018-06-27
178,0.745000132113152,23.75,2018-06-28
179,0.7399999600406486,2.0,2018-06-29
180,0.9762519290079799,13.75,2018-06-30
181,0.9812568989397983,14.25,2018-07-01
182,0.7462505885960897,14.0,2018-07-02
183,0.9537500557524897,14.0,2018-07-03
184,0.8262524609650423,14.0,2018-07-04
185,1.3000002959413237,22.5,2018-07-05
186,1.2700005099502587,22.25,2018-07-06
187,1.2737502586044263,22.5,2018-07-07
188,1.1775006271585,2.0,2018-07-08
189,1.0650001349182356,16.0,2018-07-09
190,0.7312504353035644,15.25,2018-07-10
191,1.2374999406800378,22.25,2018-07-11
192,0.3062499784355879,22.25,2018-07-12
193,1.1637498466067093,16.75,2018-07-13
194,1.1650003237644728,19.75,2018-07-14
195,1.1675028919977466,13.75,2018-07-15
196,1.1900049587642185,19.75,2018-07-16
197,1.1812521644997742,12.75,2018-07-17
198,1.1562537811723437,12.5,2018-07-18
199,1.0875035980681853,21.5,2018-07-19
200,1.0162544969647402,22.25,2018-07-20
201,1.1975109914045405,20.5,2018-07-21
202,1.2362528329816946,22.75,2018-07-22
203,1.1587509639554323,13.75,2018-07-23
204,1.2237499620383037,20.0,2018-07-24
205,0.3525001450296079,18.25,2018-07-25
206,1.0762499018708587,20.5,2018-07-26
207,0.6624981607756545,22.75,2018-07-27
208,1.2125001555728236,22.75,2018-07-28
209,1.1875030806453672,18.75,2018-07-29
210,1.2237508148573664,20.75,2018-07-30
211,1.2287499316190862,20.5,2018-07-31
212,1.2262523398550746,23.75,2018-08-01
213,1.2175019553183661,20.75,2018-08-02
214,1.206252306568954,23.25,2018-08-03
215,0.42375124410816206,14.25,2018-08-04
216,1.1537538392768423,14.25,2018-08-05
217,1.037500405379377,22.25,2018-08-06
218,0.1699997747973954,20.5,2018-08-07
219,0.17624998945815523,16.0,2018-08-08
220,0.856248155946195,20.75,2018-08-09
221,0.12500023879773092,20.25,2018-08-10
222,0.2050005172822744,15.5,2018-08-11
223,0.09750011264406268,22.5,2018-08-12
224,0.2874999704230327,14.0,2018-08-13
225,1.2012498897451946,22.25,2018-08-14
226,1.2399999029750794,22.75,2018-08-15
227,1.238750146095369,22.5,2018-08-16
228,1.1962513443433405,20.5,2018-08-17
229,1.1637507358714945,18.5,2018-08-18
230,0.9324999460747843,22.75,2018-08-19
231,0.5587500118134661,20.5,2018-08-20
232,0.7762501591174312,22.75,2018-08-21
233,1.1299998440710892,22.75,2018-08-22
234,0.6600000444075674,15.0,2018-08-23
235,0.8375000892788885,20.25,2018-08-24
236,0.41000386238965614,19.25,2018-08-25
237,0.8775002356548192,14.0,2018-08-26
238,0.625002296655155,0.5,2018-08-27
239,0.6012500011761226,13.75,2018-08-28
240,0.610002369326275,16.75,2018-08-29
241,0.6650010959505807,18.0,2018-08-30
242,1.17500023939397,16.5,2018-08-31
243,1.2012514872819688,14.0,2018-09-01
244,0.8387508676237817,14.5,2018-09-02
245,0.6750033470084029,15.0,2018-09-03
246,0.4750019838527383,16.25,2018-09-04
247,0.5212507270388196,17.25,2018-09-05
248,0.7837499520821116,9.25,2018-09-06
249,0.12750007680109873,11.0,2018-09-07
250,1.1625008484415296,21.5,2018-09-08
251,0.9937505344383637,14.75,2018-09-09
252,0.8512540920859011,16.5,2018-09-10
253,0.9562524060814375,16.75,2018-09-11
254,1.0674999444662199,16.0,2018-09-12
255,0.663753055408135,18.75,2018-09-13
256,0.5875001094591276,15.25,2018-09-14
257,0.7587519708725304,17.0,2018-09-15
258,1.1125034750106046,1.0,2018-09-16
259,1.119999971844263,2.0,2018-09-17
260,1.1475000719405124,16.25,2018-09-18
261,0.623750163316719,15.25,2018-09-19
262,0.93251031874142,15.25,2018-09-20
263,0.815000220204523,18.25,2018-09-21
264,1.2212484814863642,23.75,2018-09-22
265,1.1512499792129227,0.5,2018-09-23
266,1.2075004818869792,14.5,2018-09-24
267,1.140000507555204,19.5,2018-09-25
268,0.8212502439817697,15.0,2018-09-26
269,1.0525064395551729,16.0,2018-09-27
270,1.180000364951552,1.25,2018-09-28
271,0.8900001392671567,15.5,2018-09-29
272,0.6762571800390512,16.75,2018-09-30
273,0.2112512574822968,22.75,2018-10-01
274,1.237500275383232,16.75,2018-10-02
275,0.4524999680473037,16.5,2018-10-03
276,0.3249999397494067,16.25,2018-10-04
277,1.1787592713246209,21.5,2018-10-05
278,1.1487507607992948,17.25,2018-10-06
279,0.8850015950538802,15.0,2018-10-07
280,1.095000262601974,16.0,2018-10-08
281,1.1600028233838218,23.75,2018-10-09
282,1.2162499769014958,14.75,2018-10-10
283,0.4962506458824554,17.75,2018-10-11
284,0.7600000541774135,23.75,2018-10-12
285,0.9500062707265797,20.5,2018-10-13
286,1.176250162323173,15.25,2018-10-14
287,1.1875050144604897,15.25,2018-10-15
288,1.2462503753059142,14.75,2018-10-16
289,1.2125054862189113,15.0,2018-10-17
290,1.2100015440853407,15.25,2018-10-18
291,1.2125108112550347,15.0,2018-10-19
292,1.1637502853242871,15.0,2018-10-20
293,1.1450040077157981,15.0,2018-10-21
294,1.2162503843106016,15.25,2018-10-22
295,1.2399999519900449,22.25,2018-10-23
296,1.2150019738005189,16.75,2018-10-24
297,1.2112590161262162,16.0,2018-10-25
298,1.2100042939969036,15.0,2018-10-26
299,1.1900002823796858,23.5,2018-10-27
300,1.133754243052856,15.0,2018-10-28
301,1.2187541584581523,22.0,2018-10-29
302,1.2162510244206528,15.0,2018-10-30
303,0.3512503455016064,16.0,2018-10-31
304,0.12625019541961807,22.5,2018-11-01
305,0.0762499851400708,3.5,2018-11-02
306,1.1737505528825183,14.75,2018-11-03
307,1.1687499652814743,21.0,2018-11-04
308,1.1987510397428631,23.25,2018-11-05
309,0.8562499539422224,18.75,2018-11-06
310,0.5337521560569672,22.75,2018-11-07
311,0.7325008459738968,20.0,2018-11-08
312,0.14750000730616056,23.75,2018-11-09
313,0.11125006939384545,14.75,2018-11-10
314,0.9975009050822653,21.0,2018-11-11
315,0.09375002280816157,20.0,2018-11-12
316,0.10625023537838248,18.75,2018-11-13
317,0.1750000590496682,23.25,2018-11-14
318,0.09000002122186086,0.0,2018-11-15
319,0.13500001231809206,23.25,2018-11-16
320,0.10250000365060731,22.0,2018-11-17
321,0.11750001056481055,23.25,2018-11-18
322,0.09125000949646772,22.0,2018-11-19
323,0.08875002041690883,22.0,2018-11-20
324,0.060000075498544574,5.25,2018-11-21
325,1.2412536917505241,22.75,2018-11-22
326,0.30749998190114386,16.25,2018-11-23
327,1.1412526548177802,22.75,2018-11-24
328,0.09000001281765325,23.25,2018-11-25
329,1.1487501802220552,16.75,2018-11-26
330,0.09250001812878196,22.0,2018-11-27
331,1.182501520820099,22.25,2018-11-28
332,0.08999998625823431,15.75,2018-11-29
333,1.171250230710687,18.0,2018-11-30
334,1.2674999102839832,17.0,2018-12-01
335,1.3612503038675925,17.25,2018-12-02
336,1.0575005994849547,21.5,2018-12-03
337,0.2274999613998425,23.25,2018-12-04
338,0.19000011827087632,6.0,2018-12-05
339,0.15500013978467012,22.25,2018-12-06
340,0.43625038169150077,21.5,2018-12-07
341,1.3925002341866943,23.5,2018-12-08
342,0.19625001614895463,3.25,2018-12-09
343,0.1550000133098591,16.25,2018-12-10
344,1.3987499206366794,23.5,2018-12-11
345,1.4175015945166467,22.25,2018-12-12
346,0.6262511771996635,22.75,2018-12-13
347,0.20750020408845535,22.0,2018-12-14
348,1.2500004365761568,21.5,2018-12-15
349,1.2637499090605313,17.0,2018-12-16
350,0.2424998037242767,23.25,2018-12-17
351,1.2225004328464906,22.25,2018-12-18
352,1.2274999215039328,16.25,2018-12-19
353,0.1850000405912741,22.75,2018-12-20
354,0.17500007390061392,2.5,2018-12-21
355,0.18000003678349763,3.75,2018-12-22
356,1.2837499023118233,21.25,2018-12-23
357,1.2875006205885406,19.25,2018-12-24
358,1.3125072075345015,23.5,2018-12-25
359,0.21375003760199446,23.5,2018-12-26
360,0.17875000362137075,3.25,2018-12-27
361,1.257499900193976,17.5,2018-12-28
362,1.2675000927290152,23.5,2018-12-29
363,1.281253156218182,22.75,2018-12-30
364,0.13375005334683254,12.0,2018-12-31
