day_of_year,savings,time_of_shed
262,19.367,9.5
263,19.648,9.25
264,19.917,9.5
265,19.572,9.5
266,19.575,10.25
267,19.46,9.0
268,20.0,9.75
269,19.737,9.25
270,19.534,9.75
271,19.743,9.75
272,19.678,9.0
273,20.285,12.25
274,20.505,11.5
275,20.306,12.0
276,20.363,10.5
277,20.432,10.25
278,19.722,10.0
279,19.816,9.75
280,19.796,10.5
281,20.333,0.0
282,19.861,10.25
283,19.999,11.75
284,20.165,0.0
285,20.167,0.75
286,20.03,10.5
287,19.956,9.75
288,19.883,10.0
289,19.844,0.0
290,20.152,10.5
291,19.951,10.5
292,19.876,0.0
293,20.095,10.0
294,20.052,10.5
295,20.181,11.75
296,20.019,0.0
297,20.134,10.75
298,19.955,0.0
299,20.42,0.0
300,20.098,0.0
301,20.073,0.0
302,20.065,10.5
303,20.076,10.75
304,19.778,9.25
305,19.696,18.75
306,19.669,10.0
307,19.954,0.5
308,19.981,8.0
309,19.905,0.5
310,20.168,0.0
311,20.273,0.0
312,20.042,0.0
313,19.953,0.0
314,19.83,0.5
315,19.837,1.0
316,19.877,9.25
317,20.016,9.0
318,19.847,0.0
319,19.718,9.0
320,19.756,10.0
321,19.666,0.0
322,19.693,11.0
323,19.62,2.0
324,19.648,1.0
325,19.903,10.0
326,20.051,0.0
327,19.921,10.0
328,19.75,0.0
329,19.679,0.0
330,19.597,0.0
331,20.254,1.0
332,19.781,0.0
333,19.868,1.0
334,20.556,8.0
335,20.654,8.0
336,20.63,13.5
337,21.131,18.75
338,20.524,12.25
339,20.781,18.0
340,20.211,12.0
341,20.766,8.0
342,20.731,18.75
343,20.834,13.0
344,20.643,6.0
345,20.539,6.0
346,20.617,2.0
347,20.714,2.0
348,20.528,9.0
349,21.72,18.75
350,21.305,18.75
351,20.823,2.25
352,21.367,18.75
353,21.54,18.0
354,20.8,16.0
355,21.004,0.0
356,20.919,9.0
357,21.39,0.75
358,21.612,1.0
359,20.944,1.0
360,20.935,2.75
361,20.687,13.0
362,20.62,10.0
363,20.838,2.0
364,20.691,0.75
