day_of_year,savings,time_of_shed
0,20.424,5.0
1,20.682,2.25
2,20.486,0.0
3,20.305,6.0
4,20.061,5.0
5,20.575,0.0
6,20.388,0.0
7,20.446,0.0
8,20.899,9.0
9,20.799,8.0
10,20.634,0.5
11,20.464,7.75
12,20.559,0.0
13,20.572,0.0
14,20.399,2.0
15,20.143,0.0
16,20.091,0.0
17,20.476,0.0
18,20.156,0.0
19,20.561,0.0
20,20.025,0.5
21,20.626,0.0
22,20.141,0.0
23,20.827,0.0
24,20.217,0.0
25,20.614,0.0
26,20.626,0.0
27,20.255,4.0
28,20.274,6.0
29,20.565,0.0
30,20.239,0.25
31,20.821,0.5
32,21.163,0.5
33,21.073,0.5
34,20.594,0.25
35,20.781,9.0
36,20.603,2.0
37,20.578,0.5
38,21.098,0.75
39,21.127,1.75
40,21.168,0.25
41,20.301,1.25
42,20.803,0.25
43,21.131,0.75
44,20.8,0.0
45,20.735,0.75
46,20.827,1.75
47,20.741,0.25
48,20.259,9.0
49,20.564,8.0
50,20.357,6.0
51,20.531,0.25
52,20.331,0.0
53,20.154,0.5
54,20.209,0.0
55,21.429,1.0
56,21.17,1.0
57,21.044,1.5
58,20.445,0.5
59,20.426,11.0
60,20.229,2.0
61,20.433,9.25
62,20.16,10.25
63,20.168,10.25
64,20.593,10.0
65,20.453,9.0
66,20.316,1.0
67,20.407,2.0
68,20.579,15.0
69,20.428,12.5
70,19.909,10.0
71,20.192,12.25
72,19.525,7.5
73,20.03,3.0
74,19.965,10.5
75,19.992,10.0
76,19.852,10.25
77,20.037,9.75
78,20.444,12.25
79,19.959,10.0
80,19.993,3.25
81,19.739,10.0
82,20.135,10.0
83,19.946,1.5
84,19.475,9.75
85,19.913,10.0
86,19.761,1.5
87,20.054,10.0
88,19.941,10.0
89,19.613,8.0
90,19.707,9.25
91,19.625,9.25
92,19.589,9.75
93,19.628,10.0
94,19.517,9.75
95,19.432,9.5
96,19.598,8.75
97,19.741,9.0
98,19.32,10.0
99,19.627,10.0
100,19.572,9.25
101,19.605,9.75
102,19.241,9.0
103,19.572,9.5
104,19.336,9.0
105,19.324,9.25
106,19.41,9.25
107,19.26,9.25
108,20.47,8.75
109,20.434,9.0
110,20.13,9.0
111,20.167,8.25
112,20.416,8.75
113,20.727,9.25
114,19.441,8.0
115,19.001,9.25
116,19.968,9.25
117,20.013,9.0
118,19.863,8.25
119,19.96,9.75
120,18.287,10.0
121,18.777,9.75
122,17.653,9.25
123,18.067,9.25
124,18.587,9.25
125,18.18,8.0
126,17.746,3.0
127,18.045,9.25
128,18.586,8.0
129,18.77,6.75
130,18.183,9.5
131,18.66,9.25
132,17.931,1.75
133,18.74,9.0
134,18.394,9.25
135,18.612,9.0
136,17.791,2.0
137,18.575,9.25
138,18.589,9.0
139,17.705,1.5
140,18.441,9.0
141,18.836,9.0
142,18.583,3.0
143,18.332,9.0
144,18.838,9.5
145,18.69,8.5
146,18.09,8.0
147,18.438,9.25
148,17.871,9.0
149,18.631,9.0
150,18.593,9.25
151,17.223,1.75
152,18.952,8.25
153,19.217,8.25
154,18.798,8.5
155,19.106,8.25
156,18.991,6.75
157,19.124,8.75
158,18.753,8.0
159,18.863,7.75
160,18.836,8.0
161,19.008,8.5
162,19.01,9.25
163,18.95,8.0
164,19.065,5.25
165,19.162,9.5
166,19.118,1.75
167,19.236,8.0
168,18.827,8.0
169,18.917,8.75
170,18.662,8.75
171,19.121,8.75
172,19.318,8.75
173,19.303,8.0
174,19.007,7.0
175,18.784,8.25
176,19.097,8.25
177,19.343,8.75
178,18.956,8.0
179,18.664,2.0
180,18.692,5.0
181,18.75,8.75
182,18.706,1.5
183,18.838,2.0
184,18.656,1.5
185,18.528,1.5
186,18.954,0.0
187,19.849,2.0
188,19.71,2.0
189,19.56,18.0
190,19.417,0.25
191,19.731,17.0
192,19.614,0.75
193,19.885,18.75
194,19.43,0.75
195,19.453,9.0
196,18.575,7.75
197,19.356,2.0
198,19.677,2.0
199,19.802,2.0
200,19.86,1.0
201,19.588,2.0
202,19.446,9.25
203,19.496,0.5
204,19.789,0.75
205,20.345,18.0
206,20.069,2.0
207,19.909,1.0
208,19.918,1.5
209,19.243,9.75
210,19.712,1.5
211,19.903,1.75
212,19.721,10.0
213,20.015,10.0
214,19.652,11.0
215,20.437,18.75
216,19.352,9.5
217,20.174,18.0
218,20.31,18.0
219,20.39,18.0
220,19.865,15.25
221,20.158,18.75
222,20.43,18.5
223,20.256,18.75
224,19.644,18.5
225,19.074,1.0
226,19.359,1.0
227,19.381,0.5
228,19.264,0.75
229,19.31,9.75
230,19.252,9.5
231,19.42,0.0
232,19.514,9.25
233,19.277,0.75
234,19.073,9.0
235,19.318,9.25
236,19.581,9.75
237,19.244,9.5
238,19.116,9.25
239,19.508,9.5
240,19.016,9.5
241,19.073,9.75
242,19.217,9.75
243,19.38,9.25
244,19.54,9.75
245,19.788,9.25
246,19.751,9.25
247,19.484,10.5
248,19.427,9.75
249,19.908,18.75
250,19.63,9.5
251,19.387,9.25
252,19.651,9.0
253,19.504,9.5
254,19.533,11.0
255,19.366,11.0
256,19.403,9.75
257,19.778,9.75
258,19.513,9.75
259,19.876,9.75
260,19.631,9.5
261,19.616,9.75
