day_of_year,savings,time_of_shed
182,4.88875,12.0
183,4.9425,12.75
184,4.87,12.0
185,5.25375,22.0
186,4.84125,0.25
187,5.0725,3.0
188,5.125,21.0
189,5.15875,21.0
190,5.03375,3.0
191,5.1225,22.25
192,5.10875,3.5
193,5.1375,21.75
194,5.0525,22.0
195,5.0575,11.25
196,4.99875,11.0
197,4.92375,3.25
198,5.07625,3.25
199,5.16875,22.25
200,5.19,21.5
201,5.23625,22.0
202,5.04875,12.0
203,5.165,22.0
204,5.115,19.25
205,5.1675,19.25
206,5.22125,22.0
207,5.22625,22.25
208,5.12875,3.0
209,5.0275,12.0
210,5.1975,22.5
211,5.26625,22.0
212,5.15125,14.0
213,5.16375,12.0
214,5.06125,13.75
215,5.34875,22.0
216,5.22,22.0
217,5.22,22.0
218,5.2625,22.0
219,5.185,22.0
220,5.17,22.0
221,5.2,14.0
222,5.225,22.0
223,5.32625,22.0
224,5.145,22.0
225,5.29625,22.0
226,5.04375,21.5
227,5.03125,19.75
228,5.0025,13.5
229,5.0025,13.75
230,5.2975,22.0
231,4.98125,12.0
232,5.0175,13.25
233,4.9725,12.0
234,4.94125,21.5
235,4.945,13.0
236,5.195,13.75
237,5.0325,13.5
238,4.92125,18.75
239,5.065,13.0
240,4.895,13.5
241,5.0,22.0
242,5.14875,12.0
243,5.15125,13.25
244,4.9675,11.0
245,5.1225,11.0
246,5.09625,11.0
247,5.03125,12.0
248,4.98125,11.75
249,5.2725,22.75
250,5.17,12.0
251,5.03125,22.75
252,5.11,11.0
253,5.00125,13.0
254,5.005,11.5
255,4.97875,11.75
256,5.09125,22.75
257,5.17875,11.5
258,5.125,11.0
259,5.09625,13.0
260,5.0025,13.25
261,5.11625,13.0
262,4.99125,11.5
263,5.1175,11.0
264,5.22875,12.0
265,5.05625,12.0
266,5.10125,11.5
267,5.1325,11.0
268,5.10625,11.0
269,5.12875,11.75
270,5.12375,12.0
271,5.185,11.5
272,5.15375,12.0
273,5.1475,14.25
274,5.3025,14.0
275,5.28875,3.0
276,5.275,14.25
277,5.20125,13.5
278,5.17,0.25
279,5.0675,12.5
280,5.06625,13.25
281,5.29875,2.75
282,5.11375,1.5
283,5.11,2.0
284,5.215,0.5
285,5.29125,1.5
286,5.25,13.75
287,5.11625,12.75
288,5.1625,14.0
289,5.13125,0.25
290,5.15125,0.25
291,5.19625,3.0
292,5.2,3.0
293,5.22375,14.0
294,5.11125,14.0
295,5.24875,3.0
296,5.165,2.5
297,5.135,13.0
298,5.155,0.0
299,5.25875,3.0
300,5.17,2.25
301,5.1825,0.0
302,5.13,14.0
303,5.1725,22.75
304,5.10625,22.75
305,5.13,22.5
306,4.9775,11.5
307,5.2125,1.5
308,5.07875,11.0
309,5.10125,22.0
310,5.1125,4.0
311,5.225,4.0
312,5.11125,3.75
313,5.19375,0.0
314,5.03,4.0
315,5.135,22.5
316,5.11125,10.0
317,5.1825,22.5
318,5.075,4.0
319,5.06375,4.0
320,5.15,0.0
321,5.04125,4.0
322,5.0375,4.0
323,5.07375,5.0
324,5.05875,5.0
325,5.17125,22.75
326,5.07125,0.0
327,5.0725,0.0
328,4.9925,14.0
329,5.01375,4.0
330,4.965,11.0
331,5.17125,1.25
332,5.08,0.0
333,5.0875,4.0
334,5.32,9.25
335,5.71625,22.5
336,5.365,9.0
337,5.4875,22.5
338,5.2775,20.0
339,5.52,22.0
340,5.2325,22.75
341,5.29375,9.0
342,5.395,3.0
343,5.495,16.0
344,5.50875,22.75
345,5.4175,22.75
346,5.4225,3.0
347,5.44875,3.25
348,5.2675,22.75
349,5.5875,22.0
350,5.565,22.5
351,5.5825,3.0
352,5.61625,22.0
353,5.64125,22.0
354,5.43875,16.0
355,5.58625,3.0
356,5.45125,0.75
357,5.48,2.5
358,5.5925,1.25
359,5.3875,4.0
360,5.4625,3.25
361,5.41375,0.0
362,5.4,6.0
363,5.45625,6.0
364,5.30375,2.75
