day_of_year,savings,time_of_shed
0,5.3875,22.25
1,5.385,22.5
2,5.42375,0.0
3,5.2025,7.0
4,5.38125,0.0
5,5.28375,1.75
6,5.27375,0.25
7,5.415,22.75
8,5.44875,21.0
9,5.37,8.0
10,5.33125,1.75
11,5.335,8.0
12,5.27,0.0
13,5.37875,0.5
14,5.43875,22.75
15,5.48,22.75
16,5.44125,22.75
17,5.30875,0.25
18,5.40125,22.75
19,5.25875,0.25
20,5.18625,2.25
21,5.30375,0.0
22,5.22875,1.0
23,5.42,2.0
24,5.2525,1.5
25,5.35625,0.25
26,5.2925,1.0
27,5.30375,0.0
28,5.41,22.5
29,5.2875,1.75
30,5.27875,2.0
31,5.395,3.0
32,5.5675,2.75
33,5.43375,2.25
34,5.36125,2.75
35,5.31375,3.25
36,5.4325,3.0
37,5.30375,3.75
38,5.51,3.25
39,5.62,3.0
40,5.6375,3.0
41,5.295,3.0
42,5.42625,3.0
43,5.45875,2.0
44,5.36875,16.0
45,5.35625,2.5
46,5.33625,3.0
47,5.31125,0.25
48,5.23125,12.0
49,5.235,8.0
50,5.2875,1.0
51,5.425,1.5
52,5.3175,0.0
53,5.3225,0.75
54,5.3375,0.5
55,5.50375,4.0
56,5.48375,2.75
57,5.50125,3.75
58,5.42375,22.75
59,5.24625,14.25
60,5.23,3.0
61,5.305,4.25
62,5.22875,3.75
63,5.18125,3.75
64,5.28125,12.75
65,5.34875,3.0
66,5.31875,3.0
67,5.2075,12.5
68,5.3425,22.0
69,5.345,18.0
70,5.17625,11.0
71,5.3825,16.0
72,5.09625,11.0
73,5.29125,7.0
74,5.25375,14.25
75,5.2925,22.5
76,5.28,3.75
77,5.15375,11.0
78,5.4275,16.0
79,5.25,3.5
80,5.28125,11.0
81,5.46375,11.0
82,5.18125,13.25
83,5.23125,3.0
84,4.97125,13.5
85,5.2225,11.0
86,5.2325,2.75
87,5.19625,11.0
88,5.18,13.0
89,5.15125,11.5
90,5.19875,12.25
91,5.08875,12.5
92,4.95125,12.25
93,5.0275,12.0
94,4.99,12.0
95,4.97125,12.0
96,5.1375,12.0
97,5.20125,12.0
98,4.955,12.0
99,4.99375,12.0
100,5.02125,11.0
101,4.98625,13.0
102,4.88875,12.0
103,5.13375,12.0
104,4.99875,12.0
105,4.95375,12.0
106,5.0275,11.5
107,4.945,11.5
108,5.69875,10.0
109,5.70625,10.0
110,5.55875,10.0
111,5.6675,10.0
112,5.54125,10.0
113,5.6775,10.0
114,5.0025,10.0
115,4.92375,12.25
116,5.245,13.0
117,5.1575,13.0
118,5.21,12.0
119,5.29375,13.0
120,4.7775,13.75
121,4.80625,10.0
122,4.77,5.0
123,4.78625,11.75
124,4.75875,10.0
125,4.71625,11.0
126,4.61875,10.75
127,4.79875,11.0
128,4.825,10.0
129,4.91875,10.0
130,4.78875,11.0
131,4.84625,12.0
132,4.59875,2.5
133,4.76375,10.0
134,4.6975,9.75
135,4.76625,10.25
136,4.74875,11.0
137,4.75625,13.0
138,4.84375,12.0
139,4.6175,11.5
140,4.70875,13.0
141,4.81,10.0
142,5.03625,3.0
143,4.69125,12.5
144,4.87125,10.0
145,4.86375,12.0
146,4.7425,12.0
147,4.74125,10.75
148,4.605,11.0
149,4.7825,10.0
150,4.71875,11.0
151,4.5975,5.25
152,4.9775,12.25
153,5.05875,11.75
154,5.00125,11.0
155,4.9025,11.25
156,4.945,11.0
157,4.935,12.75
158,4.8475,11.0
159,4.87125,10.0
160,4.82125,10.5
161,4.94,12.5
162,4.87,12.75
163,4.9475,11.0
164,4.86875,7.75
165,4.9525,22.0
166,4.98875,3.75
167,5.23,12.0
168,4.94625,11.0
169,4.84375,11.25
170,4.76625,11.5
171,4.97,12.75
172,4.9875,10.5
173,5.05125,10.75
174,4.9625,11.0
175,4.86625,10.75
176,4.9025,10.5
177,4.915,10.5
178,4.88625,11.0
179,4.84,5.25
180,4.7375,5.0
181,4.95625,21.25
