day_of_year,savings,time_of_shift,date
0,2.5199999909779414,22.25,2018-01-01
1,0.5499999828824186,22.5,2018-01-02
2,0.6299999876287569,0.5,2018-01-03
3,1.9600002218238384,23.75,2018-01-04
4,5.445000019067387,23.5,2018-01-05
5,4.6850005220380035,22.75,2018-01-06
6,4.684999281852344,23.5,2018-01-07
7,0.7350000176255489,21.0,2018-01-08
8,2.914999844267733,17.25,2018-01-09
9,4.340002625715484,20.75,2018-01-10
10,4.75499999623872,23.5,2018-01-11
11,3.625000171368308,19.5,2018-01-12
12,3.9800009881654153,23.5,2018-01-13
13,4.8450027939439835,20.25,2018-01-14
14,2.5050009881335122,16.5,2018-01-15
15,1.940002898744445,19.75,2018-01-16
16,1.6499996006854534,18.25,2018-01-17
17,5.579999645989231,23.25,2018-01-18
18,4.49500039936351,18.0,2018-01-19
19,4.760000679055072,17.75,2018-01-20
20,5.185000690636681,23.5,2018-01-21
21,5.065000044688023,23.75,2018-01-22
22,5.295000100197419,23.75,2018-01-23
23,5.065000269734953,22.5,2018-01-24
24,5.320001810401198,23.0,2018-01-25
25,5.239999652767354,23.75,2018-01-26
26,4.995003233641347,23.75,2018-01-27
27,4.835000329434589,16.0,2018-01-28
28,2.874993597737599,16.0,2018-01-29
29,4.630000283926422,19.5,2018-01-30
30,4.32499787250557,18.75,2018-01-31
31,5.204999867161474,17.25,2018-02-01
32,3.6099999968306355,20.75,2018-02-02
33,4.945000090741864,15.0,2018-02-03
34,4.755002047918954,15.25,2018-02-04
35,4.769999649918506,15.0,2018-02-05
36,4.574996982234531,15.0,2018-02-06
37,5.144996984164686,0.75,2018-02-07
38,4.079997027303856,0.75,2018-02-08
39,5.20000005283838,23.75,2018-02-09
40,4.7400001455193665,18.75,2018-02-10
41,4.799996275003398,1.25,2018-02-11
42,3.2850004093066656,23.75,2018-02-12
43,4.365001870405042,23.0,2018-02-13
44,2.6650007641576297,21.5,2018-02-14
45,3.114996382574599,15.0,2018-02-15
46,3.954999826956681,0.75,2018-02-16
47,4.780000297124057,16.75,2018-02-17
48,4.740000667245719,15.25,2018-02-18
49,4.939993916682311,0.75,2018-02-19
50,2.81500019396921,23.75,2018-02-20
51,4.7799996428668905,17.0,2018-02-21
52,4.905000655787226,18.0,2018-02-22
53,5.14500616835599,16.0,2018-02-23
54,4.729997322992174,14.75,2018-02-24
55,4.844997692556514,1.0,2018-02-25
56,5.155000345877388,16.25,2018-02-26
57,4.165002760502437,19.5,2018-02-27
58,5.200000500964089,0.75,2018-02-28
59,3.670000757393763,1.25,2018-03-01
60,3.505000418460048,17.0,2018-03-02
61,4.270000052166564,21.75,2018-03-03
62,4.614999938286446,15.0,2018-03-04
63,4.875000512366765,15.0,2018-03-05
64,3.1199994294857696,1.25,2018-03-06
65,4.17000269760479,0.75,2018-03-07
66,4.054998547001326,15.25,2018-03-08
67,4.854999753079972,1.25,2018-03-09
68,2.360000286009968,19.75,2018-03-10
69,4.630000475116564,21.0,2018-03-11
70,5.254998625213959,22.5,2018-03-12
71,4.565001715845883,20.5,2018-03-13
72,4.794998756624595,13.5,2018-03-14
73,5.014999236940313,18.75,2018-03-15
74,4.865001950823078,15.0,2018-03-16
75,4.330000044222464,0.75,2018-03-17
76,4.969999165878368,23.75,2018-03-18
77,4.555000243060795,15.0,2018-03-19
78,2.5500007542468106,19.25,2018-03-20
79,3.5599982193352053,23.75,2018-03-21
80,4.919997460924697,17.75,2018-03-22
81,4.595000022145091,14.75,2018-03-23
82,5.02500011090043,14.75,2018-03-24
83,4.760003114899557,1.75,2018-03-25
84,4.769999970108898,14.75,2018-03-26
85,4.815000138019856,14.5,2018-03-27
86,4.809998141294113,1.75,2018-03-28
87,4.734998508052776,1.5,2018-03-29
88,4.485000081172856,0.5,2018-03-30
89,4.730000549485318,16.25,2018-03-31
90,4.420006324950228,15.5,2018-04-01
91,4.605000132038289,14.0,2018-04-02
92,4.354999909982776,1.25,2018-04-03
93,4.635000071773711,16.5,2018-04-04
94,4.320000528941822,1.0,2018-04-05
95,4.4750031368218135,18.25,2018-04-06
96,4.20500009945189,16.5,2018-04-07
97,4.725000065123767,13.75,2018-04-08
98,4.530000088318373,14.75,2018-04-09
99,4.3600001249476,14.75,2018-04-10
100,4.585000363051116,17.0,2018-04-11
101,4.780000139016047,16.5,2018-04-12
102,4.3350000826506525,14.75,2018-04-13
103,4.494999988743696,1.5,2018-04-14
104,4.495000038766663,1.25,2018-04-15
105,3.764999991571626,14.25,2018-04-16
106,4.524999920645406,14.0,2018-04-17
107,4.505001736326092,1.5,2018-04-18
108,4.620001522607663,17.75,2018-04-19
109,4.5150007772071845,14.0,2018-04-20
110,4.490000325122982,14.25,2018-04-21
111,4.20000003402449,14.0,2018-04-22
112,4.725004394197396,13.75,2018-04-23
113,4.6400004395432,14.0,2018-04-24
114,4.270003607505035,1.5,2018-04-25
115,4.3450046562501035,1.0,2018-04-26
116,4.165000093522201,3.0,2018-04-27
117,5.0100074591723285,13.75,2018-04-28
118,4.9950011924545885,12.75,2018-04-29
119,4.534999553817611,14.0,2018-04-30
120,4.489998809351668,15.25,2018-05-01
121,4.350000125772504,21.0,2018-05-02
122,4.16499948358181,2.25,2018-05-03
123,4.27500013211314,1.5,2018-05-04
124,4.485002514325674,14.5,2018-05-05
125,4.3099998609446954,14.0,2018-05-06
126,4.524999987580776,11.25,2018-05-07
127,4.325003705239833,14.0,2018-05-08
128,3.90000228766846,14.5,2018-05-09
129,4.160002143238252,14.0,2018-05-10
130,4.485000239762611,14.0,2018-05-11
131,4.570000060709584,14.0,2018-05-12
132,4.565001260061756,1.75,2018-05-13
133,4.560000204797504,13.75,2018-05-14
134,4.425001602822175,13.75,2018-05-15
135,4.259997982832578,1.75,2018-05-16
136,4.5450001275033705,11.0,2018-05-17
137,4.545000119494711,14.0,2018-05-18
138,4.285000753770039,0.5,2018-05-19
139,4.76000008151172,23.75,2018-05-20
140,4.465000110989267,15.5,2018-05-21
141,4.465000101631038,13.75,2018-05-22
142,4.280000186095974,23.75,2018-05-23
143,4.32500008317994,13.75,2018-05-24
144,4.354999756919313,14.0,2018-05-25
145,4.235001348909013,1.75,2018-05-26
146,4.160000037185702,13.5,2018-05-27
147,4.290000321710288,14.0,2018-05-28
148,4.339999888440175,21.75,2018-05-29
149,4.465007367197185,13.75,2018-05-30
150,4.480000480473501,13.75,2018-05-31
151,4.625000017976317,13.0,2018-06-01
152,4.810005118957676,14.0,2018-06-02
153,4.845000255173763,13.0,2018-06-03
154,3.770000222554896,20.25,2018-06-04
155,4.705001220834804,2.0,2018-06-05
156,3.369998298320791,1.75,2018-06-06
157,4.200000681079023,2.0,2018-06-07
158,4.174999952060911,1.75,2018-06-08
159,4.725017006793143,15.0,2018-06-09
160,4.68000049370989,13.25,2018-06-10
161,4.900000597477963,14.0,2018-06-11
162,4.359999970252546,14.0,2018-06-12
163,2.9549989665310057,23.75,2018-06-13
164,2.4249998322927664,14.0,2018-06-14
165,1.9500020616585123,20.75,2018-06-15
166,4.235000798183231,14.0,2018-06-16
167,4.805000482697246,14.25,2018-06-17
168,4.5200029310414,1.75,2018-06-18
169,4.250001855096564,1.75,2018-06-19
170,4.310000395854946,14.0,2018-06-20
171,4.59000062032241,13.5,2018-06-21
172,3.5500003274441,13.5,2018-06-22
173,3.364999633077247,12.5,2018-06-23
174,2.9950042595038666,20.75,2018-06-24
175,4.350001622925249,14.0,2018-06-25
176,4.455000218299966,14.0,2018-06-26
177,3.5950010878067085,14.0,2018-06-27
178,2.9800003081575714,23.75,2018-06-28
179,2.959996650830024,2.0,2018-06-29
180,3.9050005835578445,13.75,2018-06-30
181,3.9250003781243943,14.25,2018-07-01
182,2.985000246699512,14.0,2018-07-02
183,3.815000179060957,14.0,2018-07-03
184,3.3050018499778027,14.0,2018-07-04
185,5.199999766320483,22.5,2018-07-05
186,5.080000172981646,22.25,2018-07-06
187,5.095000741330348,22.5,2018-07-07
188,4.71000024249688,2.0,2018-07-08
189,4.260000013337587,16.0,2018-07-09
190,2.92500024720606,15.25,2018-07-10
191,4.949996576879485,22.25,2018-07-11
192,1.2249985123219358,22.25,2018-07-12
193,4.654991857253726,16.75,2018-07-13
194,4.65999967375376,19.75,2018-07-14
