day_of_year,savings,time_of_shift,date
0,0.15400028377160463,22.25,2018-01-01
1,0.03900124103572776,22.5,2018-01-02
2,0.03925009773690928,0.5,2018-01-03
3,0.09800065980619618,23.75,2018-01-04
4,0.2722554246404545,23.5,2018-01-05
5,0.23650030927357862,22.75,2018-01-06
6,0.23425104683371456,23.5,2018-01-07
7,0.048500114001392945,21.0,2018-01-08
8,0.16650053903022757,17.25,2018-01-09
9,0.22975207460100774,20.75,2018-01-10
10,0.23776972830834606,23.5,2018-01-11
11,0.2460034741628026,19.5,2018-01-12
12,0.23225483316806192,23.5,2018-01-13
13,0.2630005296193819,20.25,2018-01-14
14,0.13525024662719187,16.5,2018-01-15
15,0.1275005095760624,19.75,2018-01-16
16,0.11550031332965907,18.25,2018-01-17
17,0.27900337106039397,23.25,2018-01-18
18,0.2570192057539253,18.0,2018-01-19
19,0.24450110526967656,17.75,2018-01-20
20,0.26250258121746783,23.5,2018-01-21
21,0.25400932847639573,23.75,2018-01-22
22,0.2747636898281911,23.75,2018-01-23
23,0.25325192994644713,22.5,2018-01-24
24,0.26625270560984754,23.0,2018-01-25
25,0.2620004914169379,23.75,2018-01-26
26,0.256025034959451,23.75,2018-01-27
27,0.2472503330563298,16.0,2018-01-28
28,0.14375430716342932,16.0,2018-01-29
29,0.2397523901996959,19.5,2018-01-30
30,0.246007118192336,18.75,2018-01-31
31,0.2602515639158485,17.25,2018-02-01
32,0.2457509270211403,20.75,2018-02-02
33,0.24976756197347041,15.0,2018-02-03
34,0.24550070819342273,15.25,2018-02-04
35,0.2625072264181494,15.0,2018-02-05
36,0.25400045216796263,15.0,2018-02-06
37,0.2610034892615124,0.75,2018-02-07
38,0.23627039906940592,0.75,2018-02-08
39,0.2600017309150505,23.75,2018-02-09
40,0.254257484741946,18.75,2018-02-10
41,0.2627517770596288,1.25,2018-02-11
42,0.20200030928732604,23.75,2018-02-12
43,0.22675052502078055,23.0,2018-02-13
44,0.18075055538430893,21.5,2018-02-14
45,0.19300153113453183,15.0,2018-02-15
46,0.1985008919672612,0.75,2018-02-16
47,0.24475855357006732,16.75,2018-02-17
48,0.25675354373483184,15.25,2018-02-18
49,0.2567503986387663,0.75,2018-02-19
50,0.23450111925237221,23.75,2018-02-20
51,0.25525029622299245,17.0,2018-02-21
52,0.25026429701716335,18.0,2018-02-22
53,0.2572555703415473,16.0,2018-02-23
54,0.23650051150893397,14.75,2018-02-24
55,0.27150183687965834,1.0,2018-02-25
56,0.27175327048586156,16.25,2018-02-26
57,0.26452347663700254,19.5,2018-02-27
58,0.26600048161998086,0.75,2018-02-28
59,0.2045004468718337,1.25,2018-03-01
60,0.18600717294834004,17.0,2018-03-02
61,0.22000114808783444,21.75,2018-03-03
62,0.24775281440883393,15.0,2018-03-04
63,0.25225040389783293,15.0,2018-03-05
64,0.17375301590756104,1.25,2018-03-06
65,0.20925500304961211,0.75,2018-03-07
66,0.2120003141695956,15.25,2018-03-08
67,0.2587506235579893,1.25,2018-03-09
68,0.1257561750027783,19.75,2018-03-10
69,0.25575574097663156,21.0,2018-03-11
70,0.2627531421764057,22.5,2018-03-12
71,0.25850408116849893,20.5,2018-03-13
72,0.25250998537923597,13.5,2018-03-14
73,0.26450689896457213,18.75,2018-03-15
74,0.25525619827294554,15.0,2018-03-16
75,0.25175200303343487,0.75,2018-03-17
76,0.2612510908553328,23.75,2018-03-18
77,0.2522575362834858,15.0,2018-03-19
78,0.16075049713079861,19.25,2018-03-20
79,0.1917503519253812,23.75,2018-03-21
80,0.24725389584469945,17.75,2018-03-22
81,0.2627506779389516,14.75,2018-03-23
82,0.2545093042126779,14.75,2018-03-24
83,0.2627616046939772,1.75,2018-03-25
84,0.24826138058393984,14.75,2018-03-26
85,0.2540063770927097,14.5,2018-03-27
86,0.26300023692437036,1.75,2018-03-28
87,0.2515044559727766,1.5,2018-03-29
88,0.24950041339093848,0.5,2018-03-30
89,0.24725039103841834,16.25,2018-03-31
90,0.24925262864636583,15.5,2018-04-01
91,0.24900715422374214,14.0,2018-04-02
92,0.23875355324084757,1.25,2018-04-03
93,0.24175071427754166,16.5,2018-04-04
94,0.2337509064072629,1.0,2018-04-05
95,0.2360015892555208,18.25,2018-04-06
96,0.23025070554069804,16.5,2018-04-07
97,0.2520019255944446,13.75,2018-04-08
98,0.2400058644647831,14.75,2018-04-09
99,0.2365241603882705,14.75,2018-04-10
100,0.24200053399781254,17.0,2018-04-11
101,0.23975133057754536,16.5,2018-04-12
102,0.24127068542943464,14.75,2018-04-13
103,0.24725235441478827,1.5,2018-04-14
104,0.24000210548599155,1.25,2018-04-15
105,0.22952101106470818,14.25,2018-04-16
106,0.24302532894460535,14.0,2018-04-17
107,0.24050209169866615,1.5,2018-04-18
108,0.27300066219335567,17.75,2018-04-19
109,0.27350072135431713,14.0,2018-04-20
110,0.2722543518873918,14.25,2018-04-21
111,0.26900083792770374,14.0,2018-04-22
