day_of_year,savings,time_of_shed
318,20.3,4.0
319,20.255,4.0
320,20.6,0.0
321,20.165,4.0
322,20.15,4.0
323,20.295,5.0
324,20.235,5.0
325,20.685,22.75
326,20.285,0.0
327,20.29,0.0
328,19.97,14.0
329,20.055,4.0
330,19.86,11.0
331,20.685,1.25
332,20.32,0.0
333,20.35,4.0
334,21.28,9.25
335,22.865,22.5
336,21.46,9.0
337,21.95,22.5
338,21.11,20.0
339,22.08,22.0
340,20.93,22.75
341,21.175,9.0
342,21.58,3.0
343,21.98,16.0
344,22.035,22.75
345,21.67,22.75
346,21.69,3.0
347,21.795,3.25
348,21.07,22.75
349,22.35,22.0
350,22.26,22.5
351,22.33,3.0
352,22.465,22.0
353,22.565,22.0
354,21.755,16.0
355,22.345,3.0
356,21.805,0.75
357,21.92,2.5
358,22.37,1.25
359,21.55,4.0
360,21.85,3.25
361,21.655,0.0
362,21.6,6.0
363,21.825,6.0
364,21.215,2.75
