day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shift,date
0,2154.8625829427388,80.9739847806023,322.8877844648168,15.809870324389898,287.4645757925784,3940.954161493709,2.067888897736142,230.4059290207329,110.45297873960267,662.2054578532873,22.25,2018-01-01
1,488.1498073626718,9.190333383053325,69.77766476747149,1.7074934004924391,34.372271951735065,492.0370347977666,0.32374228116315423,19.731233811974132,24.10679328929472,126.29501910648683,22.5,2018-01-02
2,648.3160406623343,7.449523672098438,87.26320044199626,1.169401971548249,21.040562646527547,244.36386537441285,0.3908850390913001,23.82329177899218,27.613244176799117,84.80449441945372,0.5,2018-01-03
3,817.0617319429365,109.82316103154965,125.87587468463899,21.144318484712777,106.57018963496387,1530.297930915042,1.5955515895326324,97.24441290003614,85.90788764239356,389.9407505597096,23.75,2018-01-04
4,7817.635463918046,153.16304536768942,1088.363509785576,27.282825701874387,341.82535972451086,6643.7892590423435,4.753427149368451,289.7088433048918,238.65733917685134,1083.2792906720904,23.5,2018-01-05
5,6027.317955657529,547.3389960905106,873.7205599448332,37.27754041049414,415.01726498046196,7594.858715833496,4.073000126243862,248.2386300838379,205.3460934430577,1075.8042108683337,22.75,2018-01-06
6,8865.499141318445,77.19232939340739,1184.7266970068279,11.88960215073403,326.7838860889425,4335.572334420383,4.064532712935732,247.72254202287232,205.34606664836917,932.0777843284408,23.5,2018-01-07
7,529.8459599177351,23.80478883557417,76.14024619822192,2.817979759377684,76.58979233251485,731.8478647618886,0.6249995262889814,65.05198052784418,43.07851333588653,182.05594401305206,21.0,2018-01-08
8,3381.2282220421703,99.12706243654887,444.6733224540366,15.383703559017624,269.3548693854273,3674.8869863446243,19.26459321537437,796.2255142930718,985.962733290174,508.59393290735125,17.25,2018-01-09
9,4594.630075900132,144.31513630534394,675.9190148075837,20.199109844240354,589.0294483061108,6463.058228406235,4.757646370772258,495.1912226708521,254.36819577429233,1074.997085355201,20.75,2018-01-10
10,6191.87892475381,147.37549497384072,853.9163777951804,29.78671487041234,303.3662340115508,5882.807445683728,4.135771281384596,252.06434424044338,208.41414734196783,946.0042339433205,23.5,2018-01-11
11,2381.460090390799,205.72303729669184,337.9486373828199,31.42894287974931,461.35446750283484,4958.2395191184805,8.478465081557696,497.07076281219054,432.29697905970613,843.7041340229455,19.5,2018-01-12
12,6303.292343933891,99.57063368934112,879.630867342581,21.24380032774766,273.64765093447375,3091.6702037562272,3.4482971223516614,210.16460560900148,174.4445730389775,791.8184746076776,23.5,2018-01-13
13,4871.936264443071,198.14292240415972,695.2810925076939,29.99325177609626,674.7544531178985,9225.467614371548,5.342547647946146,556.0702132119035,283.9665530545519,1200.0829885362994,20.25,2018-01-14
14,515.4289503698656,275.1859640989592,54.164813858646994,50.28220545260781,172.12897596387853,2541.4083836397185,26.52517786513121,703.5434410524363,1361.0228637756268,342.5484861984354,16.5,2018-01-15
15,1061.7107841415336,113.3252168040263,145.57487721333166,15.74563434221556,240.5542649575204,2936.948771774071,4.374287503705036,256.45338069188335,231.35346525524022,451.5272562956138,19.75,2018-01-16
16,413.3935507175973,163.04161587692013,49.65701984078411,30.724151547670928,185.40855515883686,2003.8923842931647,6.062777914474925,240.2014783379618,315.6816776015745,333.24440678364135,18.25,2018-01-17
17,9562.207397625247,141.72474424205294,1299.6115826056505,21.92844834361822,373.97184663342796,5773.446956406217,4.874496477850045,297.08725350647796,244.57349551156594,1110.1374686312238,23.25,2018-01-18
18,3154.0038173545663,208.81153610372357,421.6237500335999,32.43929372821581,440.6699813600654,6130.211256382058,29.949816945502263,1237.8569371801273,1520.3782254624216,784.2640533928575,18.0,2018-01-19
19,2261.3405877896676,332.7774290233573,277.37593062299624,57.610251286511904,482.2328001440574,7392.886110665655,31.692540423111915,1309.8854795372165,1610.0110907711473,830.4998361058023,17.75,2018-01-20
20,6723.233874609947,125.14542587111879,947.5730508588193,24.888598362666464,358.57645767353637,4225.441708040415,4.528623753099654,276.0075290349899,227.26092638413868,1031.55245312012,23.5,2018-01-21
21,7801.331159052234,549.751251959734,1092.7373131215415,25.39425360080437,297.965771041422,4420.659326065779,4.424385505263056,269.65460461560457,222.00169362856872,1007.6785450370405,23.75,2018-01-22
22,8791.446461237128,572.7166154877237,1220.4513945062042,29.27036427599956,308.2599345954848,4103.697591015011,4.6182769086745585,281.47140914606257,232.08259211184742,1053.4368901042103,23.75,2018-01-23
23,11755.711287489023,509.8567564160758,1570.7268356605857,15.874840272648283,464.976034876769,7101.847475193082,4.421930531115931,269.50476872250465,222.00170416706734,1163.0626044983796,22.5,2018-01-24
