,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump
206,21.2925967911153,7577.302577908535,0.11387534907674535,1856.551287826539,513.8677901666572,4541.187453677629,7.031098981893144,706.3548553430587,131.29751119040972,138.29273792353965
207,1.1374978879588189e-07,1683.7247418219838,0.05562433242100815,407.3031458032145,86.46680420285043,745.737932974959,7.882321487909266,356.3777433592431,6.60605183903525,6.9579997386835295
208,2.3651282362509725e-07,6902.017446010586,3.844748222861157e-09,1628.2557470627094,210.04133535710724,2927.734108074058,49.77451315676916,212.8860079560991,171.09350119120887,12.567227971276422
209,6.790129889572356,9349.553405611478,2.366990090252453e-09,2275.5146390958685,567.0146618912034,5732.132592544721,13.280048623994107,922.0147795454444,6.083987332056096,31.67653422044108
210,231.59579198860635,1997.6793312425293,17.168589842996266,478.43960948270035,294.6273894989591,2636.8090326111965,2.8514264667323332,293.506831188785,65.02639360860589,199.13527488530391
211,40.09457020749533,7456.445973749827,0.4220635457339854,1827.182384953832,676.2600719569311,5551.079349369416,4.45494365146118,729.2738711997641,3.341989724604184,13.885644854119873
212,1.0035924094566661e-07,5746.684576771298,0.2406462226334081,1380.3400193450861,256.2423692664197,4041.3600038341565,68.7623811697914,294.09726443511823,4246.968381066564,374.50625437511707
213,178.5995580625454,3031.0651079620916,16.66360892718404,736.0464173669756,391.6655498496526,4480.548593752076,3.382567450197518,348.1788165848728,186.52320944939993,845.5469002232381
214,107.60819730565376,1677.0018282087942,8.77564666410319,409.9845941495045,216.3239565294373,2092.040390729656,2.0235108819053167,208.28672776011823,112.37022627302929,509.39673336171194
215,32.05232936690964,3297.519187265106,0.22732131734473682,797.3286007597889,289.15239805939206,2190.323494842263,2.699437762881808,277.86211948505644,86.70182098307836,393.03707752644266
216,1.112968585221373e-07,3227.9586271130993,8.097847329245926e-10,768.1432310896121,134.71816778614124,1421.424710557693,3.152272287711463,218.85777550174132,2807.560474240487,247.57631049018036
217,7.195103987942684e-08,1626.1624331880685,4.904347460412711e-10,389.6290550006501,126.32413361052241,1190.801159845651,0.821072414690219,134.40953499745436,364.35583878707627,91.88206473750263
218,32.507276611551156,2348.8940180805566,0.5629040494382868,590.4073696136802,196.9432354330097,2250.079021275944,1.671100433393925,172.01164623261386,7.368551851052985e-05,-2.67206025341693e-08
219,6.487739603848406,841.6377868693576,0.05003446868937388,208.89174861617659,78.93689772056864,767.5666857869081,0.5281364542477399,86.45588879045005,69.55387303253092,7.870842551866018
220,0.3273439487466942,556.5346377417995,1.6301431376028885e-08,126.48339858665993,13.931047605750845,220.74390196781772,6.97884767212846,10.787684275698128,25.85746970568512,6.52066258919623
221,6.129226435302872e-08,9522.63327015049,5.813725743277562e-10,2280.676267077464,474.77884667337025,4320.276502869093,3.1270111613061053,511.8915134325494,2.570820109312543,10.68126901685318
222,3.176612130880395e-08,2019.9843922130844,1.7406350564774846e-10,480.2228217889289,51.03381195941187,523.6447168343481,4.556974007531041,206.03124309869048,444.37352641377805,50.286517508127716
223,4.2107728417487506e-08,959.5819591589302,2.4751572170222495e-10,223.04720095863806,19.514126083499104,246.64004168259467,3.433045741096064,43.598451191273035,11.598269852325378,52.57732897675998
224,6.472179651081303e-08,1507.2744974294587,3.180075832460734e-10,363.9263822247214,60.013774880507036,809.6177376479525,16.036874285896936,68.58976295498351,399.2181570320448,29.323758123962282
225,16.92146221997106,887.0879959307954,0.9052637772650577,206.74802126654427,74.82343993707181,978.9121036585993,19.90129470265596,85.11789197005972,1182.8804712688443,104.308796244269
226,114.96091701199303,4362.018274469171,6.224834704395289,1047.7585093917014,572.8170333662624,5478.249911912748,3.1455300033580267,578.7769795492653,2.4715376160863234,12.868588415956943
227,83.67675360438126,4799.2434446678835,3.7445706992102465,1170.322362641779,476.5686316809158,4487.039820181712,3.4205272395683766,352.085661071314,188.6143192005976,981.9729213220661
228,58.06752323132392,5219.462412213531,1.581045396025166,1297.7505779673527,513.2646066831711,5221.929103854971,3.413622081876457,351.3752113378608,188.23441790266924,979.9931820036351
229,7.295698251456376e-08,9971.968774851728,1.100624309858465e-09,2399.703625060652,632.3408555733399,6291.071170015838,4.211175002953095,689.3690020837591,10.540409456188199,43.793181284514965
230,39.85733554833324,5381.753775697297,0.3435973505413014,1398.323689328957,427.6632530080779,4432.014554999925,2.7201491225613617,279.993063886945,99.82127773436255,597.2205202298892
231,136.88893644992814,2433.4947245244402,9.812481702536836,613.4256486645795,433.69212692229246,3105.9004772757635,2.3073920192688844,424.55972118668006,17.11208375176134,89.09002036635916
232,14.327200165655004,4183.751894417373,1.0060792946015574e-09,1000.0773941706295,324.62378390866854,3090.5374458757206,4.44566821817264,446.6186827069171,242.77662616882458,255.71121614589015
233,68.04235873148046,1520.9464862165557,4.648058294027836,361.38627582986726,168.36289894113835,1842.5139566376824,1.5332137524385587,157.81870081468205,18.252487532173305,55.89747578483723
234,108.09373431092462,2563.0832154953364,8.230488572921674,623.1027271519149,298.38259697024256,2910.391363827628,2.6063209947772044,268.2773054362599,12.73906908378287,57.74884395328255
235,10.775078946131842,4487.163382918917,6.84994630436841e-10,1088.1369358083657,328.34855951993006,2859.829806134209,4.495681031075924,451.64307998071416,52.36821899047209,103.21982594090991
236,4.42975839033044,2583.4788999478424,6.248772404754522e-10,626.7401829368949,214.44670001754324,1748.202236507061,2.8793399132285167,289.26290581569043,58.561742616802555,265.47240219099973
237,113.76109400972135,373.4423572036881,10.806491250097393,90.84613096608872,75.87328244648377,494.6003467840069,0.7730550094994872,79.57309458704124,256.6402536149328,18.850986945574146
238,86.90534880411619,600.8753553997602,7.750570312271923,146.02404217808788,99.2732765866187,658.3656044134609,0.9791281987368413,100.78491119632771,55.51959171871513,170.02193972284945
239,6.319242894664254e-08,1804.7596676559833,0.17339813759030934,416.54294642550923,92.72406072358436,1154.1883352496986,24.777739316234424,105.97447901670742,62.73426340878103,4.607969778377212
240,8.897017203882927e-08,5364.6129636917185,1.012676537756078e-09,1251.1638679589114,146.03206920029578,1565.5207577433596,13.38115881005082,604.9928124430733,369.05707827823795,93.06764246059116
241,9.713833431691372,2546.8220633693,2.7763214385624097e-10,608.013964675694,267.37024515936196,2607.898121677563,3.7026496155162723,371.9738313430792,673.0014051952617,347.2595025695738
